carrier_phase_1,carrier_phase_2,carrier_phase_3,carrier_phase_4,carrier_phase_5,carrier_phase_6,carrier_phase_7,carrier_phase_8
107281720.80992721,121306087.74389955,128221608.67680803,124220888.81084926,107469729.40734956,96812269.5806153,96760386.54020931,104412842.73246996
107281668.25940214,121306198.21652557,128221479.61702873,124220812.18241306,107469730.30104019,96812141.2006812,96760403.89431173,104412768.3712655
107281755.74950057,121306032.58368751,128221487.16948476,124220718.75663812,107469771.07941848,96812229.46463113,96760389.69641867,104412760.30824865
107281725.8305749,121306265.33091564,128221439.0209471,124220804.11920448,107469839.79092605,96812129.78732285,96760437.02635252,104412822.57627904
107281682.11462468,121306183.13890304,128221514.04323997,124220842.84187636,107469754.6686677,96812193.88336885,96760462.41095316,104412731.74524294
107281600.38092066,121306201.61146775,128221508.57323687,124220805.92041339,107469768.46970925,96812211.82724443,96760338.35375524,104412938.45245999
107281815.80809924,121306214.25808686,128221421.5865112,124220773.48851016,107469712.21619517,96812187.39406814,96760402.40744628,104412776.50930636
107281660.99239057,121306103.44098763,128221539.38766578,124220839.92370054,107469739.54149829,96812229.66312876,96760401.20353042,104412814.11324072
107281612.84898336,121306165.15156534,128221543.65222895,124220899.11803848,107469733.19195363,96812144.26533812,96760429.36494602,104412804.51951252
107281746.52471465,121306187.58123164,128221484.02789171,124220848.25540338,107469846.25970702,96812231.75931144,96760455.0396567,104412745.98636863
107281652.32556798,121306113.35825603,128221511.83222492,124220829.0851557,107469835.38368003,96812203.56985994,96760343.99794403,104412855.34809673
107281744.74815787,121306025.72749475,128221554.0065114,124220761.45249732,107469792.57090257,96812169.87544388,96760339.8021284,104412746.41559619
107281678.09234613,121306170.77148463,128221528.10603498,124220911.9756105,107469768.46854886,96812207.87352833,96760255.21132484,104412786.21578683
107281728.5693777,121306121.41812658,128221585.98255782,124220804.48129337,107469749.3947975,96812283.48160344,96760344.56564192,104412702.51149996
107281713.40353459,121306152.94825958,128221524.2359925,124220745.98833388,107469852.54520792,96812237.41058588,96760354.22491384,104412900.15270908
107281773.90735073,121306154.0519218,128221577.07777727,124220841.60486616,107469862.54777972,96812220.27567473,96760457.69421282,104412809.55033949
107281709.2944322,121306124.88964865,128221510.07333063,124220830.02320386,107469676.51349258,96812174.37065797,96760451.77810796,104412874.5606158
107281766.42722712,121306148.88490202,128221535.9740986,124220708.15800856,107469937.51813559,96812259.04356444,96760326.01951909,104412749.83358936
107281803.92822327,121306137.37402865,128221531.331945,124220829.921517,107469718.95256431,96812267.35275233,96760331.54760453,104412742.1891009
107281688.74708003,121306104.20419155,128221535.28836419,124220812.41255118,107469746.84635654,96812211.3805013,96760370.80232826,104412766.0364908
107281685.670865,121306038.69659293,128221550.51319449,124220806.09625392,107469846.09739287,96812225.60622516,96760373.99128433,104412765.21313863
107281656.28160493,121306018.65678155,128221444.7053658,124220780.67279223,107469761.4512607,96812189.11726564,96760338.15526637,104412811.81607573
107281709.26926401,121306133.50956815,128221508.96407384,124220853.98257312,107469812.98752809,96812129.57960705,96760355.26806943,104412812.54719184
107281693.21487807,121306099.00591204,128221506.97724423,124220884.60514273,107469695.87975195,96812238.8892162,96760315.56523424,104412864.07546736
107281723.65744892,121306126.7379252,128221490.7517473,124220739.94327605,107469775.39997637,96812211.09620275,96760316.82993984,104412844.13632521
107281661.72396907,121306111.03080717,128221475.09586802,124220817.06421834,107469769.81920597,96812203.86601833,96760318.93843454,104412738.18591045
107281737.97470367,121306127.02682479,128221547.65610589,124220777.13733955,107469795.99929659,96812111.89101663,96760374.93492498,104412751.11489224
107281661.90023978,121306095.68558909,128221483.9090471,124220836.90143174,107469869.82768585,96812205.31595775,96760315.65067464,104412824.4434151
107281758.41141006,121306161.48626612,128221571.07529885,124220749.25934081,107469813.59040722,96812184.06685483,96760356.90690684,104412763.81946802
