azimuth_1,azimuth_2,azimuth_3,azimuth_4,azimuth_5,azimuth_6,azimuth_7,azimuth_8
112.31575807945163,46.287902103526626,22.68184134142349,159.652213479653,204.37542949028241,357.8461876107544,195.75280785924798,88.65852518367956
112.30760213029711,46.26624456873971,22.71907777879942,159.69256164692487,204.26409665855286,357.90058831284676,195.8064436938432,88.63214195764911
112.34224829729865,46.267289068825626,22.633332243242556,159.68206804395575,204.32976288773867,357.8772156673345,195.80794980399546,88.59668162242764
112.28392844099467,46.31739923469865,22.64277879153451,159.5938665411859,204.38115190795776,357.85197479560406,195.8015225004314,88.64907348120005
112.25658634024066,46.37523149958577,22.630997605797845,159.63704321414346,204.36471470502062,357.8894245792002,195.87621792401666,88.59861692546829
112.28094859985002,46.430731743595246,22.672597327759988,159.6268801066747,204.42708212059426,357.83631399834064,195.88177282538726,88.57538276747907
112.23473372428919,46.467214842929764,22.624624503806658,159.6980437580727,204.53367293658556,357.77920867562267,195.86617664892367,88.53397740255016
112.14008645859877,46.45915905786796,22.623729436945183,159.68111149606332,204.60248742287493,357.7423350259508,195.81899817189333,88.52413772784728
112.04919403800773,46.465686139168284,22.606721580578697,159.65649224037318,204.64254267841403,357.7505283669732,195.80389053093012,88.49551068606412
112.0297805031982,46.493595941966305,22.592069393262967,159.68567831916477,204.7079816313656,357.6535743232257,195.7766828983953,88.4689228592126
111.96579275130493,46.47141904568699,22.50930047258856,159.65618783184345,204.70264559961635,357.6755585574009,195.74849583342908,88.54811167792396
111.97904848670262,46.4108076950561,22.56652421269282,159.65358599944648,204.70043347701767,357.6784292310853,195.65643705458004,88.57444050548871
111.94678522182531,46.353503453995735,22.571989702566437,159.59207329459437,204.70898370343076,357.687171771827,195.66961526894852,88.59331093646261
111.8602060883196,46.341133783865715,22.629707723164728,159.64560893354732,204.76549696812205,357.67369913482116,195.73673425561745,88.66524276564564
111.83879502679679,46.32402432431267,22.68797338040897,159.60183180801627,204.8102640519079,357.75653381992345,195.68646880060405,88.61189099832197
111.86823404551676,46.254642168433065,22.711763099112414,159.621966171951,204.7468209071539,357.7935042762023,195.71470183833276,88.59149915957843
111.86046804380571,46.26765479300249,22.590607131327012,159.6295143715318,204.71344874610656,357.74140525479856,195.74630973941825,88.67259361635008
111.7571356089104,46.28083974295488,22.53424428203129,159.6792381070873,204.6138888146458,357.74914126172865,195.76794843887703,88.65001191457388
111.76525256126702,46.31211248228269,22.54913885386165,159.64854458535092,204.71505939290319,357.74187373301623,195.72248290853926,88.6607376169259
111.76077858036027,46.331073364131825,22.560864047118976,159.6753318988249,204.7204679227483,357.72745959663496,195.66269342267114,88.63521747617007
111.75819674439529,46.34592274896084,22.583173644813925,159.64183443243638,204.64062476254472,357.64655488510846,195.71468239138062,88.61564594296071
111.79437612697635,46.37856523806247,22.53680503526927,159.6761791636977,204.61709050527045,357.62665146740716,195.7001851416457,88.67397275382426
111.7837628262724,46.33261144975718,22.51855804898012,159.7600576961094,204.61953400828173,357.6092542341337,195.69073044387736,88.60237627415097
111.8591616915474,46.43178784824569,22.520603620203953,159.80900949768002,204.62719789525093,357.62650113565996,195.60037720948333,88.62913309791702
111.9025569749065,46.341372484392565,22.59155427408041,159.81903852173352,204.59851720420414,357.5344370977945,195.61868930472696,88.6339907569514
111.8422049839195,46.40807167750852,22.562361708393777,159.9336437046003,204.5784402849513,357.5191602387093,195.61624915071064,88.61447924698577
111.90537397191703,46.36089359860991,22.567902850576154,159.85672031848412,204.5964504858142,357.5728907814691,195.55329239040194,88.65348344187638
111.93033542069894,46.40679212741843,22.4910194293762,159.9831319954199,204.57751056669915,357.6586714163044,195.59755494858834,88.58816210039845
111.8885177979848,46.32146747593123,22.487664750965255,160.0320214731247,204.59604434321318,357.61972486671243,195.6078652847022,88.61410435441067
111.98399599121419,46.31020112495468,22.43021746389082,160.02286888401045,204.5254198433081,357.6644782630178,195.65900179375313,88.64546116262383
112.03634440407302,46.242766405291384,22.46726981424614,160.007103841194,204.56511658851878,357.6771948071881,195.58596616597632,88.57853918223655
112.05449549284833,46.265644386691,22.49453893899968,160.02992766768435,204.62423894982578,357.68517873693196,195.55948529109008,88.59387779522363
111.95181657671026,46.220347803270975,22.529473297176736,160.07849998909316,204.64129495543537,357.6077509087155,195.57788236234123,88.55911986752328
111.92841719862999,46.21218965954574,22.59395684397245,160.073746087469,204.54898233780045,357.6094770085299,195.56221744413077,88.50155818539518
111.87183473562794,46.182292204493024,22.54550219185223,160.0072982758151,204.52196239791138,357.59296385948414,195.5673606067867,88.49989112637947
111.94103013889111,46.121884606800876,22.498990298389153,160.03561283487102,204.52700486203864,357.5973971920509,195.5181144490611,88.42566584084285
111.93918288655323,46.13206021231066,22.52902093330882,160.0723699585294,204.56538344229776,357.62102835642435,195.48530459322663,88.35776998340916
111.97582084260392,46.11883329780823,22.544698637266794,160.15620282009692,204.65341498152253,357.5115630447389,195.51230688447345,88.40520940598967
111.93555602720967,46.11853456541665,22.51810510955581,160.28807112746023,204.67511588742528,357.54421110476835,195.49704101289524,88.45198477840736
111.9662717057303,46.07135740729103,22.49732443814488,160.27974959282892,204.64108846239793,357.51274808606644,195.50753197439275,88.37548071377164
112.01786840389937,46.021968310803125,22.50035881174261,160.26268943113647,204.56986571049526,357.521038803105,195.50722567903864,88.32974792633927
112.03454080588116,46.11233141836112,22.467110299090862,160.27574548713395,204.56689776515978,357.57104978631577,195.56877807271871,88.24628816961847
112.13360203902963,46.1109712595995,22.525179824858963,160.27064248131154,204.5949255112989,357.572102510692,195.55013986181189,88.27556330643098
