elevation_1,elevation_2,elevation_3,elevation_4,elevation_5,elevation_6,elevation_7,elevation_8
74.42377590352004,22.987856912449317,48.42153899697181,83.37814565672201,76.9074255569128,27.255656217424594,25.503349975960074,11.533837995447545
74.4183738481846,23.000802390178144,48.41190901443878,83.3808483867799,76.92464587497288,27.270411945825316,25.48931989597902,11.538789142634588
74.41848749280999,22.995753450031327,48.41944334119164,83.38281859867229,76.93796562684953,27.2802428753378,25.49772454094526,11.539491554018756
74.42285865091128,23.00745079540092,48.41433325052599,83.38426947815346,76.9184445896374,27.282903998362634,25.505281134288243,11.548362078686205
74.43203290282133,22.995309533125504,48.426584139051535,83.39751925670268,76.94059653663473,27.300197009320485,25.514659865426776,11.542748166440925
74.4457704325953,22.992034279122624,48.443377174125224,83.39668860246475,76.9430770383683,27.297207890467295,25.517546371357454,11.539295284786341
74.44628566290928,22.988985860549402,48.42514049828804,83.38771666898526,76.93549413761117,27.29252741793527,25.533190408628986,11.53554329525166
74.41852309468386,22.999822266244838,48.424045624365554,83.39153857042159,76.94572476244112,27.298218697308826,25.52970630921236,11.532909372906758
74.43428541586634,22.991399570110854,48.4018830527232,83.39086480880857,76.95355455757112,27.29676418979055,25.542634135875655,11.540126694715626
74.43383262777712,23.007934686564155,48.40479027058804,83.39113393903752,76.94492870168241,27.287355167688002,25.540549071592594,11.535211495732721
74.43947653020119,23.001833504104845,48.39612035151299,83.38936813976935,76.94951105827262,27.27639797384196,25.554681453549524,11.526990515699953
74.43917210849919,23.00978828315144,48.38925043146881,83.38272848188788,76.95223490930168,27.2683725011986,25.561753596395054,11.507666604101491
74.44628398431364,23.00717942893844,48.39810129656827,83.3724144839296,76.96142616559239,27.27301755453864,25.54468082285588,11.52455383704183
74.46325817713245,23.004913458820162,48.382532962224595,83.37343199462016,76.94418779694563,27.275306591009556,25.54415500928836,11.514611739579559
74.47412890350351,23.02218569428076,48.36527542065574,83.37624712540176,76.93652466314103,27.256147006409027,25.521533302158176,11.526780533547056
