carrier_phase_1,carrier_phase_2,carrier_phase_3,carrier_phase_4,carrier_phase_5,carrier_phase_6,carrier_phase_7,carrier_phase_8
108194405.35314238,122136405.92994079,123470832.01658362,118690041.88880561,111363826.57103738,96092467.14467987,99534290.6330715,101964240.30462764
108194450.60061422,122136352.70932499,123470814.71752699,118689908.96660404,111363761.76599945,96092578.25279255,99534322.18159777,101964169.58566272
108194540.102812,122136390.33135608,123470844.84429769,118689968.86979239,111363814.72454433,96092592.06526576,99534322.733278,101964211.13165173
108194493.54394378,122136415.83522695,123470878.48463044,118690054.09245628,111363818.38767813,96092551.02546442,99534319.9128292,101964291.02635653
108194544.3258388,122136398.10926723,123470827.30041975,118689995.87356097,111363721.36252515,96092531.30750777,99534217.11517268,101964281.24178912
108194458.9666383,122136234.3373827,123470840.77654782,118689950.94554268,111363801.83726268,96092540.74219519,99534220.24014556,101964216.1287822
108194469.4527166,122136397.50692393,123470900.4314488,118689963.21877755,111363804.28501503,96092685.79530622,99534188.84686798,101964306.7338027
108194479.22826181,122136406.06128502,123470845.62350923,118689893.28286168,111363665.48824355,96092564.41144845,99534258.63632795,101964292.01953402
108194444.5694567,122136322.20478664,123470899.55480115,118689851.48171666,111363817.00018223,96092486.60484953,99534200.34917623,101964238.00284526
108194552.11280194,122136346.3976664,123470864.51426949,118689903.4928038,111363740.43709795,96092575.72146809,99534262.9490183,101964269.88226584
108194465.9189831,122136243.6066113,123470816.59856838,118689964.1770748,111363849.1958177,96092597.09126225,99534217.5403386,101964222.63620278
108194425.21949324,122136403.81616133,123470965.47185485,118690001.7970228,111363780.67290369,96092569.64492017,99534203.6319843,101964241.63673171
108194578.45224123,122136253.83076447,123470929.95044984,118689955.68480867,111363806.68516493,96092564.13041711,99534340.26745255,101964262.98387077
108194482.76763634,122136363.48760672,123470805.20196082,118689981.27157965,111363615.38337666,96092646.40319237,99534255.39023362,101964301.68336666
108194504.43797265,122136407.34671578,123470917.63596149,118689935.68687204,111363857.0162833,96092419.71614653,99534261.22642389,101964230.47643633
108194492.65776126,122136270.43103874,123470826.91725454,118689929.48123384,111363824.28409302,96092492.04066181,99534337.65489969,101964305.57920974
108194460.91402371,122136326.07212946,123470808.47429562,118689983.59029578,111363703.52181019,96092532.9811437,99534344.59244967,101964307.50981207
108194497.01606426,122136421.25611341,123470768.79025653,118689983.80865473,111363688.50704859,96092504.49063963,99534243.59830688,101964264.8795993
108194509.26496024,122136374.09158172,123470798.54983225,118690022.74325457,111363830.85349946,96092638.48024414,99534256.75200349,101964266.23205784
