pseudorange_1,pseudorange_2,pseudorange_3,pseudorange_4,pseudorange_5,pseudorange_6,pseudorange_7,pseudorange_8
20200015.122297704,22321326.25740808,23200005.680680815,22321322.241269186,20200011.01735884,18078673.74808996,17199995.695050873,18078707.06335379
20200006.041090667,22321313.513876807,23200007.218411326,22321335.31016271,20200005.574046344,18078677.440935235,17200000.247743122,18078691.593160424
20199997.56225649,22321344.318005044,23200001.18527103,22321322.826282967,20200003.719938334,18078702.387830853,17200001.753645197,18078688.37791987
20200003.494705837,22321304.936025765,23200013.385531247,22321319.715541374,20200000.634792637,18078699.813723378,17200001.36084569,18078680.285052884
20200011.480197985,22321321.435532905,23200001.978757303,22321315.153045554,20200021.327450573,18078690.622244444,17200014.6398439,18078690.622449588
20200022.50407727,22321329.65174628,23200020.592431933,22321322.03738605,20200003.25706987,18078698.185180698,17200037.049616866,18078692.982079525
20200011.215269756,22321324.796459585,23200026.226581346,22321328.703971248,20200001.80538594,18078682.026718795,17200006.572146367,18078686.81698353
20200010.37105573,22321332.075183794,23199995.099240694,22321328.12596781,20199998.46052455,18078677.837954737,17200005.02198778,18078691.157783784
20200009.18806262,22321326.982925665,23200019.670543108,22321327.816957068,20199989.854966044,18078700.445095975,17200014.686033193,18078692.38475237
20199995.8760181,22321336.415635407,23200009.73662696,22321315.519072577,20200018.670168415,18078689.83451706,17200015.211491678,18078703.65186148
20200021.468661103,22321340.118991673,23200002.3997546,22321310.746478893,20200029.01037611,18078677.904810987,17200007.54166827,18078690.860151697
20199989.937787656,22321335.702514246,23200025.904786523,22321330.256478846,20200009.04863921,18078687.304073516,17200004.229231965,18078663.410324015
20200010.630090788,22321344.487601895,23199990.250400797,22321315.38604643,20200002.89376198,18078700.30556164,17200014.876683977,18078684.63682846
20200000.065009072,22321337.675209764,23200029.62748457,22321339.22986009,20200019.82252998,18078693.72010129,17200015.077799294,18078683.74067842
20200011.695491873,22321339.290067825,23200006.666016802,22321343.347483136,20199998.258983035,18078679.60702488,17200021.014516834,18078690.60527253
20200010.70974157,22321330.571939703,23200011.437131815,22321334.400152564,20200009.76344046,18078691.37581055,17200011.91223591,18078697.0072223
20200005.631164957,22321339.690962013,23200010.730784,22321353.904823314,20200013.87109038,18078657.603253536,17200004.27839246,18078677.406727605
20200010.381792553,22321330.123461142,23200008.524406843,22321317.288650677,20199996.28063415,18078693.620224733,17200003.76613254,18078685.924931344
20200002.500537343,22321325.904959217,23200015.109504174,22321332.523544777,20200012.464006037,18078686.401248593,17200002.734436154,18078687.019165725
20199994.46892621,22321345.587601233,23200000.48554744,22321333.14072871,20199999.55198041,18078693.72274772,17199998.90541988,18078658.964157227
20199993.821004108,22321343.695379946,23200021.849980608,22321321.50559892,20200001.353704806,18078689.763658058,17199988.54207828,18078674.96283006
20200010.932596758,22321332.29139856,23199995.90489478,22321313.401227668,20199993.886089973,18078699.495094538,17200010.426046636,18078677.548892003
20199987.90323161,22321328.16933561,23199997.960476696,22321328.517167214,20200003.736031923,18078690.013149545,17199996.86183197,18078682.758843176
20200017.226619508,22321325.367615625,23200016.230651133,22321341.95759141,20200012.434710894,18078684.911483005,17200005.65897538,18078691.66670953
20199998.071230236,22321322.919068806,23200016.36849983,22321329.711358543,20200016.60647523,18078691.305903215,17200020.474268835,18078679.54040737
20200012.48910227,22321340.082529254,23200017.65463837,22321314.35579849,20200020.92492841,18078700.150450446,17200008.897899196,18078676.898419738
20200023.630625248,22321336.67139704,23199997.291694894,22321345.967704628,20200006.965622623,18078682.27219524,17200004.64013357,18078688.770436533
