azimuth_1,azimuth_2,azimuth_3,azimuth_4,azimuth_5,azimuth_6,azimuth_7,azimuth_8
211.291312768301,293.63018744602255,59.74174935703928,107.44377943638641,154.9191305069537,152.29524141294448,226.69176360240036,108.81734271824185
211.28511796967513,293.6144204468917,59.69296663510896,107.42527924967361,154.88376692421986,152.37348976763116,226.5785240103151,108.80360071494412
211.2855058413612,293.6382090794981,59.68251370365776,107.41902783814278,154.9298772033096,152.32669174293903,226.5484841742202,108.80346188077858
211.31967167408615,293.70914243753515,59.653545523108406,107.42947381631316,154.86425954404177,152.436863131174,226.5968517614866,108.81435509307425
211.41496327403888,293.62821710660256,59.632347960084594,107.46300612483061,154.88865305619998,152.43586545989518,226.55109132797764,108.7313804907003
211.43769515129065,293.64793804564533,59.6958577648269,107.44023135086167,154.8285972616712,152.48960989217915,226.6273821102701,108.64534875492905
211.44478364114892,293.64613730414277,59.629951410861,107.43680708755736,154.80283343206733,152.47743238208787,226.7086056523023,108.59969744773053
211.41093358100466,293.6710756925997,59.670374913520014,107.3980480154467,154.71765551725824,152.41839516309915,226.72713859986825,108.58629278337919
211.4012484205559,293.65456768395967,59.690800527095405,107.36370256828604,154.71651094285482,152.51025967406164,226.74076706573825,108.5420544971486
211.42516490081658,293.7795024402349,59.55799378007636,107.32737992168148,154.70686254519606,152.58495171173143,226.6865250825597,108.53566349357448
211.41144274178504,293.88286846878174,59.547021450499926,107.36734378534402,154.79680122816023,152.66028606822238,226.68601249456174,108.518121387896
211.41752670609642,293.86226762368005,59.681622869121796,107.38331214163208,154.74834804061382,152.5804839751466,226.66079973876043,108.49852149561171
211.453849034261,293.8448552586958,59.70219961695193,107.39586954923577,154.67319103002848,152.6600825795585,226.68307063997204,108.40918580443848
211.42749683077244,293.813458802661,59.637107710118414,107.39513025556563,154.71920841096676,152.75971826578393,226.66443499378641,108.50596867512488
211.3851982363057,293.8787222645047,59.60875779654547,107.38308386213244,154.5672568815284,152.8096231394391,226.65614168982003,108.44226043149699
211.44866581297202,293.9020271859743,59.6608150574429,107.37029377985745,154.51260797958147,152.80533609112345,226.68538067718566,108.38243424133557
211.46801222064533,293.8915522194364,59.56084507289694,107.3545446650637,154.43837147608957,152.83365120504163,226.64404778742275,108.35991316714771
211.42860882232932,293.9102877603546,59.658974324141504,107.33753645490211,154.49936381334803,152.84627562560516,226.65149046108638,108.33146872672266
211.39985862528837,293.94784730710535,59.53404121442682,107.28575528829369,154.5236145143084,152.83357962358627,226.66002099475872,108.29845543850841
211.4175610909734,293.9935225326418,59.475095490596225,107.33693656089856,154.5425398315945,152.84594305483972,226.6242885054726,108.35392332415837
211.42202886671961,293.99842478005417,59.47330116215052,107.3440409484794,154.5369298923461,152.82880750326706,226.61785629880129,108.37266811370219
211.43672318973245,293.97825538933535,59.41970849750244,107.30814655784405,154.52352452717264,152.83198717152183,226.61165880829137,108.42813798336238
211.2912059013345,294.02856272355586,59.406238684775914,107.2996230290966,154.56482352937087,152.78390484243053,226.67108593942606,108.45195775909275
211.263621167809,294.0069964557682,59.403760592258934,107.2999157919471,154.5061558388,152.8147508154865,226.6750741032423,108.51510094822655
211.26895972771595,294.03664001254015,59.36387210299641,107.33757954323748,154.54832523615207,152.81645583026665,226.71049235396336,108.556091738615
211.29854169731124,294.03092415330207,59.31373923409981,107.33440168137717,154.51535385576173,152.8398140520603,226.73798631282307,108.64273814825799
211.23281715771756,294.0345256088104,59.301739327235104,107.31809842303063,154.49039292014058,152.82590535296032,226.7514381754454,108.59703588520277
211.2004187101548,294.071586019382,59.37847179394926,107.25030457837954,154.52395635493923,152.79603924185565,226.77885345604716,108.64065909827622
211.15775538397287,294.06762687786994,59.3696116686956,107.2449272408928,154.51400474738892,152.72834788717557,226.7894270014944,108.60819867916625
211.0693445231928,294.04275976524,59.433531993736814,107.22805868568918,154.56806950573602,152.70090710999492,226.7569211652438,108.61903164064782
211.0841636444032,294.10662731553936,59.383459423476594,107.23147814682194,154.6218878499773,152.70609637880264,226.82791615054327,108.60362114801215
211.12395703393108,294.0454036224423,59.33141710929343,107.2863222853343,154.57824552059674,152.7173115211139,226.84775393838075,108.6044061222773
211.06259770395,294.0894695031094,59.3473345327059,107.25204243846547,154.64778680661777,152.71378465133805,226.86299393042322,108.67330259638682
211.06428861542574,294.08042326790496,59.30430100592125,107.30587115852686,154.66927453987964,152.66162027376245,226.74439575696795,108.62105083830751
211.07395874957626,294.06745805646864,59.301483384290684,107.35007386854487,154.59266085825828,152.65681450602395,226.77789235640287,108.59155204596259
211.02455088888144,294.00972370940667,59.39151899631952,107.31803655225478,154.53279507439575,152.6552667650067,226.79980118353734,108.67135244511147
211.04018489148385,293.99368749136625,59.38199424199441,107.30377843334465,154.57313698218695,152.637395107125,226.8049509600178,108.66318234821664
211.00972246546095,293.9480739974906,59.49291673956181,107.28646836808053,154.55734967165702,152.648519592377,226.70994843687805,108.68116259822168
210.99048357319663,294.0113174891532,59.63084691152764,107.29697947038521,154.60390357773548,152.64690965488214,226.71230949283625,108.65214928735055
211.00466279877568,294.09485971667505,59.617115326975366,107.32902356368712,154.6455129319113,152.7110321215064,226.68403614540873,108.60742575692196
210.96454821371057,294.10213840662124,59.60491738806804,107.2836622818216,154.66394433190263,152.73420553944612,226.63225076361763,108.58400678228531
210.96353825986844,294.1667604253222,59.60250601652395,107.30544083076482,154.6240876695306,152.71971757490667,226.62015740127376,108.59586480381383
210.9273730140755,294.20727685854456,59.70770440149227,107.20302581448558,154.66974374855133,152.65786255881514,226.60572863367324,108.56517693011345
210.93155691620578,294.23433389487343,59.73834945621339,107.24749864921017,154.6864930738052,152.6759578697368,226.6243600339451,108.60353754792983
210.846674920676,294.24258686217655,59.81488529384789,107.25610373238725,154.68161439441775,152.6963554489661,226.55367237326942,108.62487161223805
210.9283614458474,294.33049587431645,59.8292811078265,107.25793192626882,154.69023715604132,152.69846932921453,226.51239875823936,108.62698621392836
210.9400712955807,294.3349638219667,59.83837831522236,107.30654833294766,154.78734238303898,152.62227696804806,226.54110821519785,108.72781793461404
210.99442760742193,294.26759126636273,59.812461705096744,107.32698182478977,154.83493811097003,152.64283169922896,226.56468136837458,108.72209558642307
210.95994963664882,294.2597866090038,59.814516695176025,107.24183077786336,154.85595370220923,152.62088728158497,226.58713521730883,108.8025633857448
211.00238107876046,294.2869520290971,59.861324755489,107.15735391541291,154.90303281775363,152.6231917994129,226.62155689951592,108.8123287451466
210.9791463482448,294.24746406970445,59.910681745719685,107.14553555926021,154.92481171138678,152.71110780259238,226.61319237346652,108.78961780066325
211.02951533382955,294.27805781726664,59.93820557748891,107.20601697652144,154.95494571980146,152.73691695444325,226.62205637533953,108.87345402214793
211.05827193399202,294.31860174391267,59.99438277919657,107.27162789007507,154.97297668033883,152.72359626119658,226.58950587754825,108.94604295847812
211.07280751902806,294.3019339091931,60.06756669114384,107.27330446073319,155.01635119524428,152.65599337366834,226.6532898684483,108.92692378421931
211.03425155273192,294.2933685765894,60.17777209080918,107.39626219975696,155.07003316848085,152.72481183331604,226.6643961281832,108.97550311295095
210.99746759400995,294.3369202712615,60.15565745757116,107.33457170042963,154.98544941308646,152.83477544648613,226.61178790292166,109.02150532379342
210.91278606198895,294.39213751874246,60.24453013816579,107.34624052846138,155.0370243695562,152.91829168863717,226.65692894536176,109.0341499221476
210.91729440615222,294.33858476921336,60.122289179516535,107.3781305580174,155.14151695989608,152.88906358446542,226.64053750611203,109.06194139031001
210.95035368547107,294.3549634484563,60.122356593401804,107.36236400473695,155.08391833753413,152.94120088738237,226.56037744670752,108.98537586824173
210.97167181912067,294.40081673405297,60.14783861003918,107.30082617320623,155.1228871535411,152.87592533754923,226.53187624104126,109.02345153484652
210.95470142170788,294.3981076389112,60.15460378436604,107.27145217349896,155.24225724898756,152.7596365008214,226.5192806417135,108.99956486138801
210.89682874103912,294.38429596843025,60.2520814821542,107.29752587377992,155.29582224461817,152.78234779543644,226.50701213910108,109.05355058611498
210.8752489732465,294.3347174746856,60.22322580309513,107.33620270723384,155.31527988760075,152.74256895684186,226.45159763572488,108.98076000864278
210.86754248529218,294.3501177823772,60.3069929677205,107.3053878710851,155.39196662626782,152.71396901776606,226.4437968565185,109.06040474707292
210.8327826886129,294.39886197820243,60.28963995279231,107.35634026723137,155.39488597074953,152.72236430278969,226.3949213884766,109.00910405991746
210.81778016830324,294.4169159414087,60.27946939165129,107.34485818261496,155.37975910930587,152.7081534056605,226.31968938620815,109.04169854890101
210.83502909183778,294.42417857900335,60.21355779162229,107.34285996567863,155.362856354692,152.72111555912633,226.3215226448126,109.03561058449186
210.82719431240074,294.48793635539283,60.315711630066,107.30198147200434,155.47003985641882,152.6734829937521,226.3305592801301,109.08749725746843
210.79787632773383,294.4396327620645,60.35126703267128,107.31307198450227,155.44131917222145,152.6564752081787,226.2720886917025,109.12277051570985
210.7780840122433,294.4203217319649,60.35004628009191,107.3526391145241,155.51185166602505,152.63557501002555,226.1960384323757,109.13543678200327
210.79386921129253,294.5044232567362,60.33921841170939,107.36724763601562,155.57519671354237,152.65244373728032,226.16264037769838,109.05626342045915
210.7650321480714,294.54478511162444,60.24472253824846,107.37076299777272,155.61532936502095,152.7145841830604,226.12144497497079,109.04827959883687
210.7715626001036,294.4833163519619,60.20340498506605,107.20919852172493,155.6719023637402,152.6942998452241,226.01926410290602,109.09005478090704
210.83078174844636,294.49089269795707,60.20380547217848,107.20914422293312,155.6970476345325,152.70838251899244,226.0151602237871,109.08425388365985
210.72728399071056,294.4576214204487,60.18238682099519,107.21452344891979,155.7742110813926,152.73431942058343,225.9611187047278,109.02386178464614
210.74120590841974,294.42735497624767,60.18699226329208,107.23380820485374,155.7894231828388,152.63465790737914,225.94624353632972,109.04762584306005
210.63176857430068,294.2949396866141,60.234939674972516,107.147511478285,155.7726943434611,152.5767897906818,225.92573565290778,109.14511480972516
210.65861462819896,294.32108623804686,60.27203734201435,107.04289689454833,155.78697074261768,152.6921263585839,226.03869260147695,109.16822936716916
210.74769412828687,294.34355264143795,60.26621312971915,106.982218488529,155.86556897529744,152.62450025202847,226.05426257778265,109.09650706139065
210.78273842312166,294.38773284231246,60.246457205625354,106.94273235588379,155.88071034630858,152.49300811624397,226.05451015324425,109.03748170657755
210.81836685832445,294.3818786430784,60.22893441318423,106.91706227873863,155.87538236911382,152.4802016145949,226.11115687011582,108.98592648512407
210.85981673570225,294.39602498920686,60.271313324837166,106.87179369341574,155.87648249905212,152.47794380825096,226.14013090778425,109.042420529102
210.87012834471307,294.45470377791816,60.26428207005657,106.83345086039016,155.80864718208193,152.45486523157345,226.1758671766176,108.99685200638201
210.90221222346253,294.4239419665269,60.35668163711542,106.753659009043,155.71554650715507,152.41503074432785,226.2314272218116,109.02130547589884
210.95634418877643,294.4032717434568,60.24875279502754,106.81010117071989,155.84496031384836,152.45813024424848,226.15555814944918,108.91941835715018
210.97774071597982,294.43344920583786,60.25805051851558,106.78946485343046,155.86070338741308,152.50754192635685,226.13928663395282,108.92018103643981
210.98008465523986,294.4276173111464,60.23300358671989,106.81486763942479,155.82768013572556,152.48364343022104,226.00116975468404,108.83443264279897
211.0296253698454,294.411657757349,60.22745625561575,106.78524561340586,155.88314575348613,152.52734104686107,226.00212818909247,108.81831392399232
211.00822402835811,294.45554959565357,60.11050802423864,106.81223445053931,155.8288280395941,152.54773762712267,226.0712553275337,108.70299960920804
210.99884427470175,294.3900315728527,60.20187731033875,106.80132176593831,155.78080848818695,152.50451136101535,226.091242040625,108.6936134519607
210.9954300462951,294.408386045591,60.13054020940309,106.78148766975553,155.78157161809298,152.5631933008742,226.09105924578378,108.63777480368542
210.95109045612776,294.3712071322773,60.101133419307466,106.79607084832536,155.73750920977005,152.60568458141682,226.06908331093558,108.6728583549172
210.9754799812706,294.4031392677434,60.166156101183695,106.81125465028666,155.7921631056792,152.70253248274895,226.03394016969315,108.60055607285732
210.90808990539387,294.42592401703786,60.17883536439902,106.78454779498256,155.7868944119507,152.6859634838129,225.99417333128284,108.46987812740802
210.93266450667554,294.41039675607624,60.18838368118043,106.71377450223409,155.9093988950467,152.61134248228694,226.00897088252748,108.51603840961128
210.9895481298369,294.4277296443698,60.16371707206495,106.71677657021824,155.8893959045385,152.70130705982555,225.99194513379035,108.47845134730784
210.96836771338207,294.3673048882703,60.156250503412004,106.70828626769469,155.9532219767593,152.64542431411635,225.90545113446302,108.51066010023182
