carrier_phase_1,carrier_phase_2,carrier_phase_3,carrier_phase_4,carrier_phase_5,carrier_phase_6,carrier_phase_7,carrier_phase_8
111885098.52770856,125853217.13146998,131168211.15047857,123917448.03361374,114338811.94649073,101524328.03164712,91402005.2112965,104798963.0724442
111885050.80698961,125853150.20376356,131168219.23912539,123917516.73072642,114338783.37067182,101524347.43459913,91402029.12991348,104798881.80447446
111885006.26760876,125853312.05225947,131168187.52725871,123917451.10926777,114338773.63284001,101524478.51214635,91402037.02928948,104798864.9107557
111885037.43858564,125853105.12280501,131168251.65526786,123917434.78968067,114338757.40038285,101524465.0034902,91402034.98268907,104798822.37021804
111885079.38911875,125853191.80985312,131168191.71848261,123917410.79533957,114338866.1523902,101524416.69559415,91402104.77824609,104798876.70141798
111885137.33136043,125853234.96920262,131168289.5293702,123917446.95696911,114338771.1823222,101524456.43069848,91402222.52498503,104798889.0749127
111885078.0048584,125853209.47294277,131168319.12615202,123917482.01508935,114338763.57620159,101524371.50873746,91402062.38178825,104798856.70530051
111885073.56298278,125853247.72504067,131168155.56136344,123917478.98669049,114338745.98734717,101524349.52337086,91402054.22180046,104798879.51046933
111885067.36363558,125853220.97164477,131168284.67473353,123917477.35782377,114338700.76841378,101524468.30427398,91402105.01078711,104798885.93985404
111884997.39928627,125853270.54057595,131168232.47324528,123917412.73675011,114338852.18357775,101524412.55381565,91402107.7665407,104798945.14563629
111885131.89479922,125853289.982376,131168193.91560766,123917387.65139675,114338906.51899436,101524349.86791152,91402067.46729283,104798877.93884099
111884966.21108079,125853266.7904329,131168317.4411948,123917490.15190887,114338801.63375024,101524399.27529767,91402050.04977494,104798733.70251316
111885074.95086072,125853312.95246552,131168130.07798511,123917412.03428322,114338769.2854276,101524467.55711567,91402106.0161474,104798845.23037195
111885019.39999412,125853277.16654892,131168337.01378153,123917537.33111608,114338858.24114192,101524432.9602711,91402107.0775209,104798840.52558772
111885080.53269246,125853285.647704,131168216.3451468,123917558.92772776,114338744.91303895,101524358.80983639,91402138.27102482,104798876.57702363
111885075.35589859,125853239.83790104,131168241.38898565,123917511.94847067,114338805.37405868,101524420.66816884,91402090.43157184,104798910.23963816
111885048.6496343,125853287.74724555,131168237.70518467,123917614.4315944,114338826.94014494,101524243.17479222,91402050.32005209,104798807.23992814
111885073.63010202,125853237.45991918,131168226.09884658,123917422.04687233,114338734.52439065,101524432.42123547,91402047.62349667,104798851.9983627
111885032.21467926,125853215.31496617,131168260.7182855,123917502.09237763,114338819.5691355,101524394.50912255,91402042.20110485,104798857.75712842
111884990.00004,125853318.73632367,131168183.86578763,123917505.30935319,114338751.7202671,101524432.97871467,91402022.09925838,104798710.32294253
111884986.59289256,125853308.78169164,131168296.13459346,123917444.18701506,114338761.1954531,101524412.17349689,91401967.61402427,104798794.41512735
111885076.52751644,125853248.85501692,131168159.7931386,123917401.60140674,114338721.93625586,101524463.33143061,91402082.62150072,104798808.00251791
111884955.51489969,125853227.18467565,131168170.59678088,123917481.0387147,114338773.71904127,101524413.48689921,91402011.34396583,104798835.38840397
111885109.60235716,125853212.47645037,131168266.60143456,123917551.64948761,114338819.40980397,101524386.68514906,91402057.57347369,104798882.19267584
111885008.91896059,125853199.60694665,131168267.33729312,123917487.3143133,114338841.3403822,101524420.29974066,91402135.419302,104798818.45839323
111885084.71306306,125853289.79494002,131168274.08820881,123917406.60664585,114338864.03242868,101524466.75370519,91402074.58623983,104798804.58495718
111885143.23546481,125853271.86139952,131168167.0856668,123917572.73459674,114338790.67875503,101524372.81526081,91402052.22969852,104798866.96471944
111884998.76237658,125853177.43179353,131168262.54786025,123917514.12061526,114338795.67067988,101524502.46300583,91402050.43366793,104798819.62170325
111885133.32985847,125853063.93884218,131168247.1493286,123917556.7560811,114338810.85081749,101524403.3108385,91402111.94977956,104798916.68331766
111885077.77899979,125853145.83092278,131168150.46755603,123917468.45624815,114338780.16751312,101524392.87862326,91402078.51165362,104798760.67334144
