pseudorange_1,pseudorange_2,pseudorange_3,pseudorange_4,pseudorange_5,pseudorange_6,pseudorange_7,pseudorange_8
20199999.115198724,22321350.844525225,23200012.798445996,22321324.633290593,20200029.176043898,18078658.527058605,17199987.756329574,18078679.06658006
20200011.640625406,22321322.708311863,23200005.901411757,22321320.03421157,20200010.771831974,18078688.2615773,17200000.78888564,18078700.25751604
20200005.884127084,22321324.011813752,23199994.041180544,22321321.745822113,20200007.725011338,18078690.32911133,17200018.334127832,18078671.055504065
20200007.10723453,22321329.14121074,23199997.382320534,22321331.23681579,20199995.27731789,18078690.296103124,17200027.101929035,18078701.920513038
20200007.645222045,22321326.337575715,23200014.75930966,22321335.693627294,20199982.286167018,18078682.511253223,17200015.77826886,18078708.907102436
20200004.309121177,22321329.64570233,23200013.06016654,22321334.345322996,20200005.551130198,18078678.433041513,17200019.59100017,18078676.234069623
20199998.466355097,22321304.156181347,23200009.28525996,22321337.392839253,20200017.718440104,18078684.823552996,17199997.998680484,18078673.58626333
20200007.508052155,22321349.349025663,23200018.901748445,22321354.30154577,20200010.121565465,18078697.1881711,17200007.351685382,18078664.74519399
20200009.14063465,22321322.532210078,23200028.96462863,22321335.468946777,20200038.374477573,18078674.8573288,17199993.811461423,18078679.154993504
20200014.414300136,22321332.259231374,23199984.676356237,22321324.095185187,20200022.17210104,18078690.985923573,17200008.912420448,18078690.933179054
20200015.18691211,22321328.177098826,23200008.159214698,22321317.67383015,20199998.607228834,18078688.089421585,17200015.981541973,18078683.780504804
20200013.70600988,22321331.10331647,23199996.32143891,22321326.90841609,20200002.423611764,18078675.17555968,17200009.698839996,18078690.410220478
20200001.21989964,22321340.58837115,23200004.973983794,22321333.85761216,20200005.4137686,18078684.6314363,17200014.179974966,18078689.68491825
20199994.73790238,22321315.71690241,23200007.521200053,22321316.781839527,20200018.658106674,18078708.426478233,17200004.00203087,18078701.44527276
20200000.679583628,22321324.14364235,23200025.19906908,22321337.28379222,20199999.277161032,18078693.232770912,17200028.251045287,18078695.515070643
20200005.94798312,22321327.390782814,23200001.039443936,22321323.639540553,20200012.007833138,18078672.107886273,17200009.49685971,18078693.686157156
20200015.166177917,22321315.68773689,23200008.679641258,22321337.50511921,20200010.95018871,18078686.15080278,17200008.02329718,18078687.692823727
20200003.047923245,22321328.124880508,23200003.197480567,22321326.04617489,20200011.39358592,18078698.827093128,17200010.385137927,18078678.105454396
20200032.453644007,22321309.394336354,23200007.247481007,22321321.452869155,20200011.968640815,18078691.55990127,17200024.10147445,18078682.376982253
20199998.953333966,22321327.54605169,23200001.313234434,22321329.246008303,20199997.5411649,18078683.090261653,17200019.86916643,18078687.447217435
20199999.876857974,22321326.36875741,23200004.965617627,22321310.01191405,20200007.00184186,18078680.056140065,17200006.36811298,18078679.878143594
20200019.06161466,22321317.57608688,23200003.44049742,22321341.046848092,20200012.02489942,18078688.6795727,17200021.512147423,18078677.147010997
20200014.337592915,22321330.687040944,23200003.047605027,22321312.87500192,20200009.62661519,18078690.090419926,17199999.085888688,18078682.57467845
